MDXfind algo	hashes.org algo
MD5-1xMD5SHA1	MD5(MD5(PLAIN)SHA1(PLAIN))
MD5-1xSHA1MD5	MD5(SHA1(PLAIN)MD5(PLAIN))
SHA1-1xSHA1MD5	SHA1(SHA1(PLAIN)MD5(PLAIN))
SHA1-1xMD5SHA1	SHA1(MD5(PLAIN)SHA1(PLAIN))
MD5-1xMD5SHA1-MD5	MD5(MD5X2(PLAIN)SHA1(MD5(PLAIN)))
MD5-1xSHA1MD5-MD5	MD5(SHA1(MD5(PLAIN))MD5X2(PLAIN))
MD5-1xMD5SHA1-MD5MD5	MD5(MD5X3(PLAIN)SHA1(MD5X2(PLAIN)))
MD5-1xSHA1MD5-MD5MD5	MD5(SHA1(MD5X2(PLAIN))MD5X3(PLAIN))
MD5-1xSHA1MD5pSHA1p	MD5(SHA1(MD5(PLAIN))SHA1(PLAIN))
SHA1-1xSHA1MD5pSHA1p	SHA1(SHA1(MD5(PLAIN))SHA1(PLAIN))
MD5SHA1-1xSHA1MD5pSHA1p	MD5SHA1(SHA1(MD5(PLAIN))SHA1(PLAIN))
SHA1-1xSHA1psubp	SHA1(SHA1(PLAIN)CUT0-1(PLAIN))
SHA1-1xSHA1psubp	SHA1(SHA1(PLAIN)CUT0-2(PLAIN))
SHA1-1xSHA1psubp	SHA1(SHA1(PLAIN)CUT0-3(PLAIN))
SHA1-1xSHA1psubp	SHA1(SHA1(PLAIN)CUT0-4(PLAIN))
SHA1-1xSHA1psubp	SHA1(SHA1(PLAIN)CUT0-5(PLAIN))
SHA1-1xSHA1psubp	SHA1(SHA1(PLAIN)CUT0-6(PLAIN))
SHA1-1xSHA1psubp	SHA1(SHA1(PLAIN)CUT0-7(PLAIN))
SHA1-1xSHA1psubp	SHA1(SHA1(PLAIN)CUT0-8(PLAIN))
MD5TIGER2	MD5TIGER2
MD5SHA1MD5MD5	MD5SHA1MD5X2
MD5SHA1MD5RADMIN2	MD5SHA1MD5RADMIN2
MD5SHA1MD5MD5MD5SHA1	MD5SHA1MD5X3SHA1
MD5SHA1RAW	MD5RAWSHA1
MD5SHA1MD5MD5MD5	MD5SHA1MD5X3
MD5SQL5-32	MD5CUT0-32MYSQL5TOT
MD5SQL5-32	MD5CUT0-33MYSQL5TOT
MD5SQL5-32	MD5CUT1-32MYSQL5TOT
MD5SQL5-32	MD5INS1CUT0-31MYSQL5TOT
MD5SQL5-32	MD5CUT0-32MYSQL5LCTOT
